ALUNO;ANO;PEDRA;DESTAQUE_IPV;DESTAQUE_IDA;TURMA;ANOS_PM;REC_EQUIPE_4;REC_EQUIPE_2;SINALIZADOR_INGRESSANTE;DESTAQUE_IEG;REC_EQUIPE_3;NOTA_MAT;CF;REC_AVA_3;CT;INDICADO_BOLSA;IDADE_ALUNO;BOLSISTA;IPV;IAA;IAN;FASE_TURMA;IPP;DEFASAGEM;REC_EQUIPE_1;REC_AVA_4;INSTITUICAO_ENSINO_ALUNO;IDA;NOTA_PORT;NOTA_ING;IPS;ANO_INGRESSO;QTD_AVAL;IEG;PONTO_VIRADA;REC_AVA_2;NIVEL_IDEAL;INDE;CG;INDE_CONCEITO;FASE;REC_AVA_1
ALUNO-1;2020;Ametista;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;2;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;11;;7.75;8.500020000000001;10;2H;5.9375;;;;Escola Pública;7;;;7.5;;;8.7;Não;;;7.883752;;B;;
ALUNO-1;2021;Ametista;;;G;;Não avaliado;Promovido de Fase;Ingressante;;Mantido na Fase atual;;;;;;;;8.1;7.5;5.0;;7.7;-1.0;Promovido de Fase;;Rede Decisão;8.8;;;6.9;;;6.3;Não;;Nível 3 (7o e 8o ano);7.319;;;2.0;
ALUNO-1;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-2;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-2;2022;Ametista;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;K;;;;;Destaque: A sua boa entrega das lições de casa.;;9.43;66.0;;6.0;Sim;;Não;7.92;10.0;5.0;;5.62;;;;;8.82;8.2;nan;7.5;2022.0;2.0;7.58;Não;Mantido na Fase atual;Fase 2 (5º e 6º ano);7.68;245.0;;0.0;Mantido na Fase + Bolsa
ALUNO-3;2020;Ametista;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;2;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;12;;8.111113333333334;7.91667;10;3H;8.125;;;;Escola Pública;5.5;;;7.5;;;8.9;Não;;;7.856389666666666;;B;;
ALUNO-3;2021;Ametista;;;F;;Não avaliado;Promovido de Fase;Veterano;;Mantido na Fase atual;;;;;;;;7.2;7.1;10.0;;7.3;0.0;Promovido de Fase;;Escola Pública;5.6;;;6.3;;;6.9;Não;;Nível 3 (7o e 8o ano);7.021;;;3.0;
ALUNO-3;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-4;2020;Quartzo;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;2;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;10;;7.75;8.000020000000001;5;1D;7.1875;;;;Escola Pública;0;;;6.875;;;4.1;Não;;;5.076252;;D;;
ALUNO-4;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
